mtt,mu_pt,mu_abseta,weight,pileup
2320.8751771681395,234.64435,0.20077515,1.0,29.0
2023.3118856347446,74.912605,0.6837158,1.0,30.0
1056.3395141938547,72.147575,0.5341797,1.0,25.0
1470.1818426012417,58.536537,0.55822754,1.0,36.0
1935.3633835677008,67.90945,1.1572266,1.0,18.0
1947.59281295741,182.29645,0.41906738,1.0,19.0
760.6335678588036,76.018524,0.42089844,1.0,25.0
1718.295946768442,218.6035,0.42108154,1.0,28.0
1526.9087057664108,63.210712,1.4755859,1.0,15.0
2234.344637208029,340.64557,0.5161133,1.0,17.0
963.1456993880008,203.34073,0.27270508,1.0,28.0
1447.191420251621,215.42343,0.7044678,1.0,32.0
2345.4044012363465,203.59096,0.93859863,1.0,25.0
1171.170683104504,173.18695,0.011726379,1.0,19.0
2210.6368305228534,104.16812,0.03731537,1.0,17.0
956.968482022696,128.41753,1.6486816,1.0,19.0
2044.2803807830146,73.115456,0.8156738,1.0,18.0
2204.65509206908,263.81955,0.021450043,1.0,19.0
1715.6259852468893,91.92651,0.60913086,1.0,15.0
1747.9657682062225,263.27667,0.5321045,1.0,29.0
1878.570902073083,122.34936,1.2468262,1.0,14.0
616.3082724940605,168.76173,0.08085632,1.0,9.0
1599.5473467137324,182.966,1.4638672,1.0,26.0
2175.4304411163257,242.03288,1.6804199,1.0,27.0
2167.0010298158936,148.75499,0.5576172,1.0,39.0
1100.159799153627,83.13494,0.97680664,1.0,13.0
2109.7074319664866,454.4939,0.088638306,1.0,16.0
1501.758858835083,100.69025,1.373291,1.0,19.0
2123.5852837828616,108.25838,1.1049805,1.0,25.0
2039.1119494728482,490.44913,0.5197754,1.0,22.0
1027.7844010013876,58.1628,1.0322266,1.0,17.0
1574.029068959328,118.95638,0.48516846,1.0,26.0
1909.542596394785,201.47414,0.4666748,1.0,17.0
1808.8889688524982,149.07973,1.2919922,1.0,33.0
1864.3301637008733,200.04576,0.83935547,1.0,23.0
1835.945755004623,124.64705,0.05063629,1.0,26.0
2195.5781158005834,388.41083,0.15216064,1.0,17.0
1449.6679601638675,164.37071,0.6398926,1.0,20.0
1489.4432569204666,117.96387,0.070495605,1.0,20.0
887.4606774514469,62.049812,1.4265137,1.0,26.0
2129.623720516231,61.975327,1.4609375,1.0,17.0
1160.376646701541,122.44406,0.9667969,1.0,21.0
1607.7657911626106,161.26112,0.9827881,1.0,9.0
2201.606562096824,329.78177,0.6352539,1.0,13.0
2748.1403309232405,71.11463,0.32788086,1.0,22.0
2303.37467963594,133.33635,0.5842285,1.0,29.0
1535.0760264834382,55.454784,0.39611816,1.0,26.0
1584.3917642085712,123.304436,1.7585449,1.0,19.0
1410.3229980875744,73.87768,0.060829163,1.0,13.0
2039.8623027750434,63.96573,0.79382324,1.0,23.0
2357.4247520858426,252.22096,0.27807617,1.0,21.0
2293.43015758591,222.13484,0.40008545,1.0,18.0
2185.1716672226557,185.37474,0.28936768,1.0,23.0
2318.3259617051176,130.57945,1.1538086,1.0,28.0
